sys_name	syn	std_name
YBL022C	YBL022C	PIM1
YBL023C	MCM2	MCM2
YBL023C	YBL023C	MCM2
YBL024W	NCL1	NCL1
YBL024W	YBL024W	NCL1
YBL025W	RRN10	RRN10
YBL025W	YBL025W	RRN10
YBL026W	LSM2	LSM2
YBL026W	YBL026W	LSM2
YBL027W	RPL19B	RPL19B
YBL027W	YBL027W	RPL19B
YBL028C	YBL028C	NA
YBL029W	YBL029W	NA
YBL030C	PET9	PET9
YBL030C	YBL030C	PET9
YBL031W	SHE1	SHE1
YBL031W	YBL031W	SHE1
YBL032W	HEK2	HEK2
YBL032W	YBL032W	HEK2
YBL033C	RIB1	RIB1
YBL033C	YBL033C	RIB1
YBL034C	STU1	STU1
YBL034C	YBL034C	STU1
YBL035C	POL12	POL12
YBL035C	YBL035C	POL12
YBL036C	YBL036C	NA
YBL037W	APL3	APL3
YBL037W	YBL037W	APL3
YBL038W	MRPL16	MRPL16
YBL038W	YBL038W	MRPL16
YBL039C	URA7	URA7
YBL039C	YBL039C	URA7
YBL040C	ERD2	ERD2
YBL040C	YBL040C	ERD2
YBL041W	PRE7	PRE7
YBL041W	YBL041W	PRE7
YBL042C	FUI1	FUI1
YBL042C	YBL042C	FUI1
YBL043W	ECM13	ECM13
YBL043W	YBL043W	ECM13
YBL044W	YBL044W	NA
YBL045C	COR1	COR1
YBL045C	YBL045C	COR1
YBL046W	PSY4	PSY4
YBL046W	YBL046W	PSY4
YBL047C	EDE1	EDE1
YBL047C	YBL047C	EDE1
YBL048W	RRT1	RRT1
YBL048W	YBL048W	RRT1
YBL049W	MOH1	MOH1
YBL049W	YBL049W	MOH1
YBL050W	SEC17	SEC17
YBL050W	YBL050W	SEC17
YBL051C	PIN4	PIN4
YBL051C	YBL051C	PIN4
YBL052C	SAS3	SAS3
YBL052C	YBL052C	SAS3
YBL053W	YBL053W	NA
YBL054W	TOD6	TOD6
YBL054W	YBL054W	TOD6
YBL055C	YBL055C	NA
YBL056W	PTC3	PTC3
YBL056W	YBL056W	PTC3
YBL057C	PTH2	PTH2
YBL057C	YBL057C	PTH2
YBL058W	SHP1	SHP1
YBL058W	YBL058W	SHP1
YBL059W	IAI11	IAI11
YBL059W	YBL059W	IAI11
YBL060W	YBL060W	YEL1
YBL060W	YEL1	YEL1
YBL061C	SKT5	SKT5
YBL061C	YBL061C	SKT5
YBL062W	YBL062W	NA
YBL063W	KIP1	KIP1
YBL063W	YBL063W	KIP1
YBL064C	PRX1	PRX1
YBL064C	YBL064C	PRX1
YBL065W	YBL065W	NA
YBL066C	SEF1	SEF1
YBL066C	YBL066C	SEF1
YBL067C	UBP13	UBP13
YBL067C	YBL067C	UBP13
YBL068W	PRS4	PRS4
YBL068W	YBL068W	PRS4
YBL069W	AST1	AST1
YBL069W	YBL069W	AST1
YBL070C	YBL070C	NA
YBL071C	YBL071C	NA
YBL072C	RPS8A	RPS8A
YBL072C	YBL072C	RPS8A
YBL073W	YBL073W	NA
YBL074C	AAR2	AAR2
YBL074C	YBL074C	AAR2
YBL075C	SSA3	SSA3
YBL075C	YBL075C	SSA3
YBL076C	ILS1	ILS1
YBL076C	YBL076C	ILS1
YBL077W	YBL077W	NA
YBL078C	ATG8	ATG8
YBL078C	YBL078C	ATG8
YBL079W	NUP170	NUP170
YBL079W	YBL079W	NUP170
YBL080C	PET112	PET112
YBL080C	YBL080C	PET112
YBL081W	YBL081W	NA
YBL082C	ALG3	ALG3
YBL082C	YBL082C	ALG3
YBL083C	YBL083C	NA
YBL084C	CDC27	CDC27
YBL084C	YBL084C	CDC27
YBL085W	BOI1	BOI1
YBL085W	YBL085W	BOI1
YBL086C	YBL086C	NA
YBL087C	RPL23A	RPL23A
YBL087C	YBL087C	RPL23A
YBL088C	TEL1	TEL1
YBL088C	YBL088C	TEL1
YBL089W	AVT5	AVT5
YBL089W	YBL089W	AVT5
YBL090W	MRP21	MRP21
YBL090W	YBL090W	MRP21
YBL091C	MAP2	MAP2
YBL091C	YBL091C	MAP2
YBL092W	RPL32	RPL32
YBL092W	YBL092W	RPL32
YBL093C	ROX3	ROX3
YBL093C	YBL093C	ROX3
YBL094C	YBL094C	NA
YBL095W	MRX3	MRX3
YBL095W	YBL095W	MRX3
YBL096C	YBL096C	NA
YBL097W	BRN1	BRN1
YBL097W	YBL097W	BRN1
YBL098W	BNA4	BNA4
YBL098W	YBL098W	BNA4
YBL099W	ATP1	ATP1
YBL099W	YBL099W	ATP1
YBL100C	YBL100C	NA
YBL101C	ECM21	ECM21
YBL101C	YBL101C	ECM21
YBL102W	SFT2	SFT2
YBL102W	YBL102W	SFT2
YBL103C	RTG3	RTG3
YBL103C	YBL103C	RTG3
YBL104C	SEA4	SEA4
YBL104C	YBL104C	SEA4
YBL105C	PKC1	PKC1
YBL105C	YBL105C	PKC1
YBL106C	SRO77	SRO77
YBL106C	YBL106C	SRO77
YBL107C	MIX23	MIX23
YBL107C	YBL107C	MIX23
YBR001C	NTH2	NTH2
YBR001C	YBR001C	NTH2
YBR002C	RER2	RER2
YBR002C	YBR002C	RER2
YBR003W	COQ1	COQ1
YBR003W	YBR003W	COQ1
YBR004C	GPI18	GPI18
YBR004C	YBR004C	GPI18
YBR005W	RCR1	RCR1
YBR005W	YBR005W	RCR1
YBR006W	UGA2	UGA2
YBR006W	YBR006W	UGA2
YBR007C	DSF2	DSF2
YBR007C	YBR007C	DSF2
YBR008C	FLR1	FLR1
YBR008C	YBR008C	FLR1
YBR009C	HHF1	HHF1
YBR009C	YBR009C	HHF1
YBR010W	HHT1	HHT1
YBR010W	YBR010W	HHT1
YBR011C	IPP1	IPP1
YBR011C	YBR011C	IPP1
YBR012C	YBR012C	NA
YBR013C	YBR013C	NA
YBR014C	GRX7	GRX7
YBR014C	YBR014C	GRX7
YBR015C	MNN2	MNN2
YBR015C	YBR015C	MNN2
YBR016W	YBR016W	NA
YBR017C	KAP104	KAP104
YBR017C	YBR017C	KAP104
YBR018C	GAL7	GAL7
YBR018C	YBR018C	GAL7
YBR019C	GAL10	GAL10
YBR019C	YBR019C	GAL10
YBR020W	GAL1	GAL1
YBR020W	YBR020W	GAL1
YBR021W	FUR4	FUR4
YBR021W	YBR021W	FUR4
YBR022W	POA1	POA1
YBR022W	YBR022W	POA1
YBR023C	CHS3	CHS3
YBR023C	YBR023C	CHS3
YBR024W	SCO2	SCO2
YBR024W	YBR024W	SCO2
YBR025C	OLA1	OLA1
YBR025C	YBR025C	OLA1
YBR026C	ETR1	ETR1
YBR026C	YBR026C	ETR1
YBR027C	YBR027C	NA
YBR028C	YBR028C	YPK3
YBR028C	YPK3	YPK3
YBR029C	CDS1	CDS1
YBR029C	YBR029C	CDS1
YBR030W	RKM3	RKM3
YBR030W	YBR030W	RKM3
YBR031W	RPL4A	RPL4A
YBR031W	YBR031W	RPL4A
YBR032W	YBR032W	NA
YBR033W	EDS1	EDS1
YBR033W	YBR033W	EDS1
YBR034C	HMT1	HMT1
YBR034C	YBR034C	HMT1
YBR035C	PDX3	PDX3
YBR035C	YBR035C	PDX3
YBR036C	CSG2	CSG2
YBR036C	YBR036C	CSG2
YBR037C	SCO1	SCO1
YBR037C	YBR037C	SCO1
YBR038W	CHS2	CHS2
YBR038W	YBR038W	CHS2
YBR039W	ATP3	ATP3
YBR039W	YBR039W	ATP3
YBR040W	FIG1	FIG1
YBR040W	YBR040W	FIG1
YBR041W	FAT1	FAT1
YBR041W	YBR041W	FAT1
YBR042C	CST26	CST26
YBR042C	YBR042C	CST26
YBR043C	QDR3	QDR3
YBR043C	YBR043C	QDR3
YBR044C	TCM62	TCM62
YBR044C	YBR044C	TCM62
YBR045C	GIP1	GIP1
YBR045C	YBR045C	GIP1
YBR046C	YBR046C	ZTA1
YBR046C	ZTA1	ZTA1
YBR047W	FMP23	FMP23
YBR047W	YBR047W	FMP23
YBR048W	RPS11B	RPS11B
YBR048W	YBR048W	RPS11B
YBR049C	REB1	REB1
YBR049C	YBR049C	REB1
YBR050C	REG2	REG2
YBR050C	YBR050C	REG2
YBR051W	YBR051W	NA
YBR052C	RFS1	RFS1
YBR052C	YBR052C	RFS1
YBR053C	YBR053C	NA
YBR054W	YBR054W	YRO2
YBR054W	YRO2	YRO2
YBR055C	PRP6	PRP6
YBR055C	YBR055C	PRP6
YBR056W	MRX18	MRX18
YBR056W	YBR056W	MRX18
YBR057C	MUM2	MUM2
YBR057C	YBR057C	MUM2
YBR058C	UBP14	UBP14
YBR058C	YBR058C	UBP14
YBR059C	AKL1	AKL1
YBR059C	YBR059C	AKL1
YBR060C	ORC2	ORC2
YBR060C	YBR060C	ORC2
YBR061C	TRM7	TRM7
YBR061C	YBR061C	TRM7
YBR062C	YBR062C	NA
YBR063C	CNM1	CNM1
YBR063C	YBR063C	CNM1
YBR064W	YBR064W	NA
YBR065C	ECM2	ECM2
YBR065C	YBR065C	ECM2
YBR066C	NRG2	NRG2
YBR066C	YBR066C	NRG2
YBR067C	TIP1	TIP1
YBR067C	YBR067C	TIP1
YBR068C	BAP2	BAP2
YBR068C	YBR068C	BAP2
YBR069C	TAT1	TAT1
YBR069C	YBR069C	TAT1
YBR070C	ALG14	ALG14
YBR070C	YBR070C	ALG14
YBR071W	YBR071W	NA
YBR072W	HSP26	HSP26
YBR072W	YBR072W	HSP26
YBR073W	RDH54	RDH54
YBR073W	YBR073W	RDH54
YBR074W	PFF1	PFF1
YBR074W	YBR074W	PFF1
YBR075W	YBR075W	NA
YBR076W	ECM8	ECM8
YBR076W	YBR076W	ECM8
YBR077C	SLM4	SLM4
YBR077C	YBR077C	SLM4
YBR078W	ECM33	ECM33
YBR078W	YBR078W	ECM33
YBR079C	RPG1	RPG1
YBR079C	YBR079C	RPG1
YBR080C	SEC18	SEC18
YBR080C	YBR080C	SEC18
YBR081C	SPT7	SPT7
YBR081C	YBR081C	SPT7
YBR082C	UBC4	UBC4
YBR082C	YBR082C	UBC4
YBR083W	TEC1	TEC1
YBR083W	YBR083W	TEC1
YBR084W	MIS1	MIS1
YBR084W	YBR084W	MIS1
YBR085W	AAC3	AAC3
YBR085W	YBR085W	AAC3
YBR086C	IST2	IST2
YBR086C	YBR086C	IST2
YBR087W	RFC5	RFC5
YBR087W	YBR087W	RFC5
YBR088C	POL30	POL30
YBR088C	YBR088C	POL30
YBR089W	YBR089W	NA
YBR090C	YBR090C	NA
YBR091C	TIM12	TIM12
YBR091C	YBR091C	TIM12
YBR092C	PHO3	PHO3
YBR092C	YBR092C	PHO3
YBR093C	PHO5	PHO5
YBR093C	YBR093C	PHO5
YBR094W	PBY1	PBY1
YBR094W	YBR094W	PBY1
YBR095C	RXT2	RXT2
YBR095C	YBR095C	RXT2
YBR096W	YBR096W	NA
YBR097W	VPS15	VPS15
YBR097W	YBR097W	VPS15
YBR098W	MMS4	MMS4
YBR098W	YBR098W	MMS4
YBR099C	YBR099C	NA
YBR100W	YBR100W	NA
YBR101C	FES1	FES1
YBR101C	YBR101C	FES1
YBR102C	EXO84	EXO84
YBR102C	YBR102C	EXO84
YBR103W	SIF2	SIF2
YBR103W	YBR103W	SIF2
YBR104W	YBR104W	YMC2
YBR104W	YMC2	YMC2
YBR105C	VID24	VID24
YBR105C	YBR105C	VID24
YBR106W	SND3	SND3
YBR106W	YBR106W	SND3
YBR107C	IML3	IML3
YBR107C	YBR107C	IML3
YBR108W	AIM3	AIM3
YBR108W	YBR108W	AIM3
YBR109C	CMD1	CMD1
YBR109C	YBR109C	CMD1
YBR110W	ALG1	ALG1
YBR110W	YBR110W	ALG1
YBR111C	YBR111C	YSA1
YBR111C	YSA1	YSA1
YBR112C	CYC8	CYC8
YBR112C	YBR112C	CYC8
YBR113W	YBR113W	NA
YBR114W	RAD16	RAD16
YBR114W	YBR114W	RAD16
YBR115C	LYS2	LYS2
YBR115C	YBR115C	LYS2
YBR116C	YBR116C	NA
YBR117C	TKL2	TKL2
YBR117C	YBR117C	TKL2
YBR118W	TEF2	TEF2
YBR118W	YBR118W	TEF2
YBR119W	MUD1	MUD1
YBR119W	YBR119W	MUD1
YBR120C	CBP6	CBP6
YBR120C	YBR120C	CBP6
YBR121C	GRS1	GRS1
YBR121C	YBR121C	GRS1
YBR122C	MRPL36	MRPL36
YBR122C	YBR122C	MRPL36
YBR123C	TFC1	TFC1
YBR123C	YBR123C	TFC1
YBR124W	YBR124W	NA
YBR125C	PTC4	PTC4
YBR125C	YBR125C	PTC4
YBR126C	TPS1	TPS1
YBR126C	YBR126C	TPS1
YBR127C	VMA2	VMA2
YBR127C	YBR127C	VMA2
YBR128C	ATG14	ATG14
YBR128C	YBR128C	ATG14
YBR129C	OPY1	OPY1
YBR129C	YBR129C	OPY1
YBR130C	SHE3	SHE3
YBR130C	YBR130C	SHE3
YBR131W	CCZ1	CCZ1
YBR131W	YBR131W	CCZ1
YBR132C	AGP2	AGP2
YBR132C	YBR132C	AGP2
YBR133C	HSL7	HSL7
YBR133C	YBR133C	HSL7
YBR134W	YBR134W	NA
YBR135W	CKS1	CKS1
YBR135W	YBR135W	CKS1
YBR136W	MEC1	MEC1
YBR136W	YBR136W	MEC1
YBR137W	YBR137W	NA
YBR138C	YBR138C	NA
YBR139W	ATG42	ATG42
YBR139W	YBR139W	ATG42
YBR140C	IRA1	IRA1
YBR140C	YBR140C	IRA1
YBR141C	BMT2	BMT2
YBR141C	YBR141C	BMT2
YBR142W	MAK5	MAK5
YBR142W	YBR142W	MAK5
YBR143C	SUP45	SUP45
YBR143C	YBR143C	SUP45
YBR144C	YBR144C	NA
YBR145W	ADH5	ADH5
YBR145W	YBR145W	ADH5
YBR146W	MRPS9	MRPS9
YBR146W	YBR146W	MRPS9
YBR147W	RTC2	RTC2
YBR147W	YBR147W	RTC2
YBR148W	YBR148W	YSW1
YBR148W	YSW1	YSW1
YBR149W	ARA1	ARA1
YBR149W	YBR149W	ARA1
YBR150C	TBS1	TBS1
YBR150C	YBR150C	TBS1
YBR151W	APD1	APD1
YBR151W	YBR151W	APD1
YBR152W	SPP381	SPP381
YBR152W	YBR152W	SPP381
YBR153W	RIB7	RIB7
YBR153W	YBR153W	RIB7
YBR154C	RPB5	RPB5
YBR154C	YBR154C	RPB5
YBR155W	CNS1	CNS1
YBR155W	YBR155W	CNS1
YBR156C	SLI15	SLI15
YBR156C	YBR156C	SLI15
YBR157C	ICS2	ICS2
YBR157C	YBR157C	ICS2
YBR158W	AMN1	AMN1
YBR158W	YBR158W	AMN1
YBR159W	IFA38	IFA38
YBR159W	YBR159W	IFA38
YBR160W	CDC28	CDC28
YBR160W	YBR160W	CDC28
YBR161W	CSH1	CSH1
YBR161W	YBR161W	CSH1
YBR162C	TOS1	TOS1
YBR162C	YBR162C	TOS1
YBR163W	EXO5	EXO5
YBR163W	YBR163W	EXO5
YBR164C	ARL1	ARL1
YBR164C	YBR164C	ARL1
YBR165W	UBS1	UBS1
YBR165W	YBR165W	UBS1
YBR166C	TYR1	TYR1
YBR166C	YBR166C	TYR1
YBR167C	POP7	POP7
YBR167C	YBR167C	POP7
YBR168W	PEX32	PEX32
YBR168W	YBR168W	PEX32
YBR169C	SSE2	SSE2
YBR169C	YBR169C	SSE2
YBR170C	NPL4	NPL4
YBR170C	YBR170C	NPL4
YBR171W	SEC66	SEC66
YBR171W	YBR171W	SEC66
YBR172C	SMY2	SMY2
YBR172C	YBR172C	SMY2
YBR173C	UMP1	UMP1
YBR173C	YBR173C	UMP1
YBR174C	YBR174C	NA
YBR175W	SWD3	SWD3
YBR175W	YBR175W	SWD3
YBR176W	ECM31	ECM31
YBR176W	YBR176W	ECM31
YBR177C	EHT1	EHT1
YBR177C	YBR177C	EHT1
YBR178W	YBR178W	NA
YBR179C	FZO1	FZO1
YBR179C	YBR179C	FZO1
YBR180W	DTR1	DTR1
YBR180W	YBR180W	DTR1
YBR181C	RPS6B	RPS6B
YBR181C	YBR181C	RPS6B
YBR182C	SMP1	SMP1
YBR182C	YBR182C	SMP1
YBR183W	YBR183W	YPC1
YBR183W	YPC1	YPC1
YBR184W	YBR184W	NA
YBR185C	MBA1	MBA1
YBR185C	YBR185C	MBA1
YBR186W	PCH2	PCH2
YBR186W	YBR186W	PCH2
YBR187W	GDT1	GDT1
YBR187W	YBR187W	GDT1
YBR188C	NTC20	NTC20
YBR188C	YBR188C	NTC20
YBR189W	RPS9B	RPS9B
YBR189W	YBR189W	RPS9B
YBR190W	YBR190W	NA
YBR191W	RPL21A	RPL21A
YBR191W	YBR191W	RPL21A
YBR192W	RIM2	RIM2
YBR192W	YBR192W	RIM2
YBR193C	MED8	MED8
YBR193C	YBR193C	MED8
YBR194W	AIM4	AIM4
YBR194W	YBR194W	AIM4
YBR195C	MSI1	MSI1
YBR195C	YBR195C	MSI1
YBR196C	PGI1	PGI1
YBR196C	YBR196C	PGI1
YBR197C	YBR197C	NA
YBR198C	TAF5	TAF5
YBR198C	YBR198C	TAF5
YBR199W	KTR4	KTR4
YBR199W	YBR199W	KTR4
YBR200W	BEM1	BEM1
YBR200W	YBR200W	BEM1
YBR201W	DER1	DER1
YBR201W	YBR201W	DER1
YBR202W	MCM7	MCM7
YBR202W	YBR202W	MCM7
YBR203W	COS111	COS111
YBR203W	YBR203W	COS111
YBR204C	LDH1	LDH1
YBR204C	YBR204C	LDH1
YBR205W	KTR3	KTR3
YBR205W	YBR205W	KTR3
YBR206W	YBR206W	NA
YBR207W	FTH1	FTH1
YBR207W	YBR207W	FTH1
YBR208C	DUR12	DUR12
YBR208C	YBR208C	DUR12
YBR209W	YBR209W	NA
YBR210W	ERV15	ERV15
YBR210W	YBR210W	ERV15
YBR211C	AME1	AME1
YBR211C	YBR211C	AME1
YBR212W	NGR1	NGR1
YBR212W	YBR212W	NGR1
YBR213W	MET8	MET8
YBR213W	YBR213W	MET8
YBR214W	SDS24	SDS24
YBR214W	YBR214W	SDS24
YBR215W	HPC2	HPC2
YBR215W	YBR215W	HPC2
YBR216C	YBP1	YBP1
YBR216C	YBR216C	YBP1
YBR217W	ATG12	ATG12
YBR217W	YBR217W	ATG12
YBR218C	PYC2	PYC2
YBR218C	YBR218C	PYC2
YBR219C	YBR219C	NA
YBR220C	YBR220C	NA
YBR221C	PDB1	PDB1
YBR221C	YBR221C	PDB1
YBR222C	PCS60	PCS60
YBR222C	YBR222C	PCS60
YBR223C	TDP1	TDP1
YBR223C	YBR223C	TDP1
YBR224W	YBR224W	NA
YBR225W	YBR225W	NA
YBR226C	YBR226C	NA
YBR227C	MCX1	MCX1
YBR227C	YBR227C	MCX1
YBR228W	SLX1	SLX1
YBR228W	YBR228W	SLX1
YBR229C	ROT2	ROT2
YBR229C	YBR229C	ROT2
YBR230C	OM14	OM14
YBR230C	YBR230C	OM14
YBR231C	SWC5	SWC5
YBR231C	YBR231C	SWC5
YBR232C	YBR232C	NA
YBR233W	PBP2	PBP2
YBR233W	YBR233W	PBP2
YBR234C	ARC40	ARC40
YBR234C	YBR234C	ARC40
YBR235W	VHC1	VHC1
